"","R","G","B","x","y","type","imname","zoiCx","zoiCy"
"36",65,97,32,3634.62068965517,1734.54022988506,"G","100",3276,2115
"37",101,117,42,3620.8275862069,1655.22988505747,"G","100",3276,2115
"38",112,156,32,3541.51724137931,1701.20689655172,"G","100",3276,2115
"39",74,115,11,3539.2183908046,1683.96551724138,"G","100",3276,2115
"40",112,124,48,3471.40229885057,1669.02298850575,"G","100",3276,2115
"41",86,110,24,3443.81609195402,1755.22988505747,"G","100",3276,2115
"42",63,86,4,3418.52873563218,1744.88505747126,"G","100",3276,2115
"43",130,181,78,3385.19540229885,1725.34482758621,"G","100",3276,2115
"44",114,162,60,3333.47126436782,1772.47126436782,"G","100",3276,2115
"45",23,37,0,3338.06896551724,1820.74712643678,"G","100",3276,2115
"46",170,220,149,3317.37931034483,1860.97701149425,"G","100",3276,2115
"47",41,79,0,3274.85057471264,1829.94252873563,"G","100",3276,2115
"48",134,155,78,3238.06896551724,1801.20689655172,"G","100",3276,2115
"49",135,163,86,3224.27586206897,1739.13793103448,"G","100",3276,2115
"50",94,138,41,3174.85057471264,1702.35632183908,"G","100",3276,2115
"51",63,97,11,3138.06896551724,1686.26436781609,"G","100",3276,2115
"52",91,129,52,3049.5632183908,1694.31034482759,"G","100",3276,2115
"53",138,167,75,3013.93103448276,1696.6091954023,"G","100",3276,2115
"54",153,193,105,2921.97701149425,1728.79310344828,"G","100",3276,2115
"55",128,161,92,2879.44827586207,1743.73563218391,"G","100",3276,2115
"56",124,151,98,2847.26436781609,1760.97701149425,"G","100",3276,2115
"57",120,161,82,2833.47126436782,1802.35632183908,"G","100",3276,2115
"58",124,164,93,2810.48275862069,1817.29885057471,"G","100",3276,2115
"59",126,174,72,2886.34482758621,1970.1724137931,"G","100",3276,2115
"60",126,169,87,2870.25287356322,1941.4367816092,"G","100",3276,2115
"61",118,158,59,2862.20689655172,1919.59770114943,"G","100",3276,2115
"62",130,169,86,2853.01149425287,1903.50574712644,"G","100",3276,2115
"63",121,157,67,2825.42528735632,2451.7816091954,"G","100",3276,2115
"64",137,179,97,2780.59770114943,2454.08045977011,"G","100",3276,2115
"65",100,135,45,2800.13793103448,2425.34482758621,"G","100",3276,2115
"66",104,142,55,2810.48275862069,2433.3908045977,"G","100",3276,2115
"67",94,142,22,2804.73563218391,2448.33333333333,"G","100",3276,2115
"68",103,141,56,2809.33333333333,2431.09195402299,"G","100",3276,2115
"69",123,159,53,2832.32183908046,2429.94252873563,"G","100",3276,2115
"70",129,166,61,2846.11494252874,2432.24137931034,"G","100",3276,2115
"71",70,106,10,2848.41379310345,2409.25287356322,"G","100",3276,2115
"72",122,155,76,2862.20689655172,2432.24137931034,"G","100",3276,2115
"73",93,140,44,2872.55172413793,2409.25287356322,"G","100",3276,2115
"74",84,127,37,2880.59770114943,2423.04597701149,"G","100",3276,2115
"75",127,173,65,2869.10344827586,2417.29885057471,"G","100",3276,2115
"76",138,111,218,1929.88505747126,1002.87356321839,"V","100",1700,750
"77",128,103,186,1926.4367816092,931.609195402299,"V","100",1700,750
"78",135,110,212,1906.89655172414,948.850574712644,"V","100",1700,750
"79",128,102,189,1831.03448275862,946.551724137931,"V","100",1700,750
"80",144,122,233,1865.51724137931,860.344827586207,"V","100",1700,750
"81",117,93,205,1437.93103448276,1105.1724137931,"V","100",1700,750
"82",135,114,209,1336.7816091954,684.48275862069,"V","100",1700,750
"83",130,108,209,1243.67816091954,568.390804597701,"V","100",1700,750
"84",146,130,229,1249.42528735632,559.195402298851,"V","100",1700,750
"85",144,130,227,1250.57471264368,558.045977011494,"V","100",1700,750
"86",127,104,212,1259.77011494253,539.655172413793,"V","100",1700,750
"87",154,140,238,1325.28735632184,493.67816091954,"V","100",1700,750
"88",127,102,193,1321.83908045977,485.632183908046,"V","100",1700,750
"89",243,255,237,3064.50574712644,2503.50574712644,"W","100",3276,2115
"90",202,223,208,3071.40229885057,2498.90804597701,"W","100",3276,2115
"91",245,252,255,3082.89655172414,2508.10344827586,"W","100",3276,2115
"92",247,255,254,3076,2516.14942528736,"W","100",3276,2115
"93",203,193,106,3080.59770114943,2243.73563218391,"Y","100",3276,2115
"94",255,255,112,3095.54022988506,2243.73563218391,"Y","100",3276,2115
"95",166,184,46,3400.13793103448,2437.98850574713,"Y","100",3276,2115
"96",195,196,58,3379.44827586207,2398.90804597701,"Y","100",3276,2115
"97",107,152,51,2176.34482758621,1975.16091954023,"G","101",2466,1697
"98",101,158,55,2254.50574712644,1968.26436781609,"G","101",2466,1697
"99",121,164,93,2407.37931034483,1952.1724137931,"G","101",2466,1697
"100",84,126,42,2445.31034482759,1919.98850574713,"G","101",2466,1697
"101",56,98,24,2206.22988505747,1888.95402298851,"G","101",2466,1697
"102",67,109,27,2257.95402298851,1859.06896551724,"G","101",2466,1697
"103",103,136,79,2460.25287356322,1875.16091954023,"G","101",2466,1697
"104",111,150,57,2218.87356321839,1797,"G","101",2466,1697
"105",80,115,47,2176.34482758621,1755.62068965517,"G","101",2466,1697
"106",119,163,88,2349.90804597701,1739.52873563218,"G","101",2466,1697
"107",95,146,53,2200.48275862069,1726.88505747126,"G","101",2466,1697
"108",136,188,77,2152.20689655172,1693.55172413793,"G","101",2466,1697
"109",95,138,48,2400.48275862069,1678.6091954023,"G","101",2466,1697
"110",106,144,57,2145.31034482759,1644.12643678161,"G","101",2466,1697
"111",54,106,0,2202.7816091954,1610.79310344828,"G","101",2466,1697
"112",207,245,170,2368.29885057471,1609.64367816092,"G","101",2466,1697
"113",54,96,10,2341.86206896552,1593.55172413793,"G","101",2466,1697
"114",218,249,155,2186.68965517241,1539.52873563218,"G","101",2466,1697
"115",80,123,34,2360.25287356322,1538.37931034483,"G","101",2466,1697
"116",93,134,28,2167.14942528736,1519.98850574713,"G","101",2466,1697
"117",89,105,17,2133.81609195402,1484.35632183908,"G","101",2466,1697
"118",130,163,84,2318.87356321839,1480.90804597701,"G","101",2466,1697
"119",123,161,74,2324.62068965517,1451.02298850575,"G","101",2466,1697
"120",123,167,82,2117.72413793103,1431.48275862069,"G","101",2466,1697
"121",204,238,151,2126.91954022989,1390.10344827586,"G","101",2466,1697
"122",119,174,57,2133.81609195402,1375.16091954023,"G","101",2466,1697
"123",185,214,124,2033.81609195402,1363.66666666667,"G","101",2466,1697
"124",41,74,3,2085.54022988506,1330.33333333333,"G","101",2466,1697
"125",199,237,150,2031.51724137931,1319.98850574713,"G","101",2466,1697
"126",109,159,36,2034.96551724138,1305.04597701149,"G","101",2466,1697
"127",131,170,61,2146.45977011494,1287.80459770115,"G","101",2466,1697
"128",33,44,4,2157.95402298851,1279.75862068966,"G","101",2466,1697
"129",220,255,161,2038.41379310345,1276.31034482759,"G","101",2466,1697
"130",61,92,14,2046.45977011494,1251.02298850575,"G","101",2466,1697
"131",134,184,99,2166,1242.97701149425,"G","101",2466,1697
"132",125,147,65,2220.02298850575,1242.97701149425,"G","101",2466,1697
"133",164,200,102,2197.03448275862,1217.68965517241,"G","101",2466,1697
"134",101,157,58,2257.95402298851,1211.94252873563,"G","101",2466,1697
"135",140,180,91,2198.18390804598,1325.73563218391,"G","101",2466,1697
"136",115,167,57,2195.88505747126,1376.31034482759,"G","101",2466,1697
"137",93,130,50,2761.40229885057,1864.81609195402,"G","101",2466,1697
"138",132,175,60,2853.35632183908,1856.77011494253,"G","101",2466,1697
"139",118,159,37,2666,1800.44827586207,"G","101",2466,1697
"140",147,180,89,2731.51724137931,1755.62068965517,"G","101",2466,1697
"141",110,138,38,2837.26436781609,1761.36781609195,"G","101",2466,1697
"142",101,148,34,2790.13793103448,1701.59770114943,"G","101",2466,1697
"143",106,158,75,2870.59770114943,1695.85057471264,"G","101",2466,1697
"144",127,171,84,2641.86206896552,1672.86206896552,"G","101",2466,1697
"145",136,178,78,2703.93103448276,1656.77011494253,"G","101",2466,1697
"146",101,142,20,2820.02298850575,1655.62068965517,"G","101",2466,1697
"147",60,96,0,2670.59770114943,1618.83908045977,"G","101",2466,1697
"148",90,130,59,2756.80459770115,1599.29885057471,"G","101",2466,1697
"149",72,120,36,2800.48275862069,1593.55172413793,"G","101",2466,1697
"150",91,141,30,2754.50574712644,1570.5632183908,"G","101",2466,1697
"151",132,182,113,2832.66666666667,1561.36781609195,"G","101",2466,1697
"152",123,150,55,2794.73563218391,1524.58620689655,"G","101",2466,1697
"153",111,153,41,2856.80459770115,1505.04597701149,"G","101",2466,1697
"154",87,131,42,2788.98850574713,1478.6091954023,"G","101",2466,1697
"155",79,127,18,2867.14942528736,1457.91954022989,"G","101",2466,1697
"156",137,184,104,2799.33333333333,1436.08045977011,"G","101",2466,1697
"157",156,193,100,2807.37931034483,1408.49425287356,"G","101",2466,1697
"158",197,223,126,2825.77011494253,1364.81609195402,"G","101",2466,1697
"159",143,186,107,2790.13793103448,1324.58620689655,"G","101",2466,1697
"160",85,142,27,2851.05747126437,1299.29885057471,"G","101",2466,1697
"161",83,123,24,2780.94252873563,1279.75862068966,"G","101",2466,1697
"162",118,174,51,2845.31034482759,1240.67816091954,"G","101",2466,1697
"163",91,141,54,2770.59770114943,1238.37931034483,"G","101",2466,1697
"164",124,176,91,2741.86206896552,1232.63218390805,"G","101",2466,1697
"165",120,166,78,2713.12643678161,1228.03448275862,"G","101",2466,1697
"166",221,224,195,2677.49425287356,1340.67816091954,"W","101",2466,1697
"167",219,226,195,2666,1345.27586206897,"W","101",2466,1697
"168",219,233,208,2656.80459770115,1347.57471264368,"W","101",2466,1697
"169",213,223,188,2649.90804597701,1339.52873563218,"W","101",2466,1697
"170",129,177,93,1511.02298850575,2898.87356321839,"G","102",1957,2446
"171",164,211,133,1630.5632183908,2881.63218390805,"G","102",1957,2446
"172",145,191,119,1830.5632183908,2881.63218390805,"G","102",1957,2446
"173",160,196,109,2012.1724137931,2878.18390804598,"G","102",1957,2446
"174",149,194,111,2205.27586206897,2846,"G","102",1957,2446
"175",169,211,127,2065.04597701149,2818.41379310345,"G","102",1957,2446
"176",132,182,93,1645.50574712644,2803.47126436782,"G","102",1957,2446
"177",98,147,66,1591.48275862069,2780.48275862069,"G","102",1957,2446
"178",75,129,31,1869.64367816092,2741.40229885057,"G","102",1957,2446
"179",150,194,117,2000.67816091954,2781.63218390805,"G","102",1957,2446
"180",133,179,89,2000.67816091954,2752.89655172414,"G","102",1957,2446
"181",97,149,67,1802.97701149425,2648.29885057471,"G","102",1957,2446
"182",142,191,100,1993.7816091954,2609.2183908046,"G","102",1957,2446
"183",124,174,75,1712.1724137931,2567.83908045977,"G","102",1957,2446
"184",142,197,80,1677.68965517241,2514.96551724138,"G","102",1957,2446
"185",152,196,117,1958.14942528736,2480.48275862069,"G","102",1957,2446
"186",121,177,90,2205.27586206897,2379.33333333333,"G","102",1957,2446
"187",119,174,73,1748.95402298851,2365.54022988506,"G","102",1957,2446
"188",115,172,59,1747.80459770115,2310.36781609195,"G","102",1957,2446
"189",128,175,105,1969.64367816092,2280.48275862069,"G","102",1957,2446
"190",123,183,87,2016.77011494253,2257.49425287356,"G","102",1957,2446
"191",107,167,67,1827.11494252874,2231.05747126437,"G","102",1957,2446
"192",100,160,62,1869.64367816092,2209.2183908046,"G","102",1957,2446
"193",92,145,73,2144.35632183908,2265.54022988506,"G","102",1957,2446
"194",94,143,62,2239.75862068966,2243.70114942529,"G","102",1957,2446
"195",107,150,71,2053.55172413793,2147.14942528736,"G","102",1957,2446
"196",130,184,90,1938.6091954023,2155.19540229885,"G","102",1957,2446
"197",119,174,55,2116.77011494253,2063.24137931034,"G","102",1957,2446
"198",91,144,40,2197.22988505747,2105.77011494253,"G","102",1957,2446
"199",64,112,28,2147.80459770115,2095.42528735632,"G","102",1957,2446
"200",61,92,16,1707.57471264368,2095.42528735632,"G","102",1957,2446
"201",56,105,39,1679.98850574713,2047.14942528736,"G","102",1957,2446
"202",119,167,93,1569.64367816092,2062.09195402299,"G","102",1957,2446
"203",91,140,48,1551.25287356322,2143.70114942529,"G","102",1957,2446
"204",97,151,63,1599.52873563218,2272.4367816092,"G","102",1957,2446
"205",123,171,87,2324.81609195402,2860.94252873563,"G","102",1957,2446
"206",115,164,82,2312.1724137931,2783.93103448276,"G","102",1957,2446
"207",142,191,109,2361.59770114943,2754.04597701149,"G","102",1957,2446
"208",129,180,85,2355.85057471264,2713.81609195402,"G","102",1957,2446
"209",110,161,69,2336.31034482759,2657.49425287356,"G","102",1957,2446
"210",136,187,95,2359.29885057471,2619.5632183908,"G","102",1957,2446
"211",112,164,66,2258.14942528736,2572.4367816092,"G","102",1957,2446
"212",161,209,123,2352.40229885057,2529.90804597701,"G","102",1957,2446
"213",120,174,90,2261.59770114943,2496.57471264368,"G","102",1957,2446
"214",114,162,78,2267.34482758621,2433.35632183908,"G","102",1957,2446
"215",112,164,64,2320.2183908046,2413.81609195402,"G","102",1957,2446
"216",133,186,104,2132.86206896552,2344.85057471264,"G","102",1957,2446
"217",102,156,62,2204.12643678161,2277.03448275862,"G","102",1957,2446
"218",158,213,122,2273.09195402299,2234.50574712644,"G","102",1957,2446
"219",99,148,56,2237.45977011494,2200.02298850575,"G","102",1957,2446
"220",227,224,193,2216.77011494253,2695.42528735632,"W","102",1957,2446
"221",72,124,24,2715.20689655172,1233.67816091954,"G","103",3129,790
"222",104,151,57,2826.70114942529,1229.08045977011,"G","103",3129,790
"223",121,180,60,2941.64367816092,1218.73563218391,"G","103",3129,790
"224",94,147,31,3132.44827586207,1216.4367816092,"G","103",3129,790
"225",135,188,38,3334.74712643678,1208.3908045977,"G","103",3129,790
"226",92,139,47,3392.2183908046,1190,"G","103",3129,790
"227",102,164,29,3185.32183908046,1180.80459770115,"G","103",3129,790
"228",53,102,10,2920.95402298851,1154.36781609195,"G","103",3129,790
"229",94,147,17,2811.75862068966,1115.28735632184,"G","103",3129,790
"230",81,124,32,2876.12643678161,1088.85057471264,"G","103",3129,790
"231",146,190,139,3081.87356321839,1098.04597701149,"G","103",3129,790
"232",96,155,27,3339.34482758621,1086.55172413793,"G","103",3129,790
"233",122,177,47,3455.4367816092,1061.26436781609,"G","103",3129,790
"234",111,165,43,3425.55172413793,1023.33333333333,"G","103",3129,790
"235",71,122,43,3033.59770114943,1054.36781609195,"G","103",3129,790
"236",32,74,0,2858.88505747126,1044.02298850575,"G","103",3129,790
"237",52,107,5,3126.70114942529,991.149425287356,"G","103",3129,790
"238",146,198,116,3471.52873563218,973.908045977011,"G","103",3129,790
"239",2,43,0,2979.57471264368,949.770114942529,"G","103",3129,790
"240",49,94,0,2866.93103448276,926.781609195402,"G","103",3129,790
"241",21,47,0,2972.67816091954,902.64367816092,"G","103",3129,790
"242",104,160,63,3285.32183908046,915.287356321839,"G","103",3129,790
"243",108,173,31,3455.4367816092,891.149425287356,"G","103",3129,790
"244",87,115,31,3387.62068965517,858.965517241379,"G","103",3129,790
"245",17,50,0,3109.45977011494,885.402298850575,"G","103",3129,790
"246",3,18,0,2958.88505747126,881.954022988506,"G","103",3129,790
"247",55,102,6,2754.28735632184,852.068965517241,"G","103",3129,790
"248",51,81,31,2834.74712643678,829.080459770115,"G","103",3129,790
"249",33,84,0,3120.95402298851,856.666666666667,"G","103",3129,790
"250",148,182,98,3503.71264367816,863.563218390805,"G","103",3129,790
"251",107,158,53,3300.26436781609,845.172413793103,"G","103",3129,790
"252",130,182,108,2946.24137931035,832.528735632184,"G","103",3129,790
"253",95,135,47,2800.26436781609,808.390804597701,"G","103",3129,790
"254",49,96,15,2778.42528735632,773.908045977011,"G","103",3129,790
"255",30,74,0,2918.65517241379,745.172413793103,"G","103",3129,790
"256",52,95,15,2722.10344827586,717.586206896552,"G","103",3129,790
"257",67,123,0,2835.89655172414,667.011494252873,"G","103",3129,790
"258",28,67,0,3104.86206896552,633.67816091954,"G","103",3129,790
"259",135,163,102,2814.05747126437,621.034482758621,"G","103",3129,790
"260",37,84,12,2904.86206896552,529.080459770115,"G","103",3129,790
"261",21,50,6,2955.4367816092,508.390804597701,"G","103",3129,790
"262",107,145,26,2784.1724137931,512.988505747126,"G","103",3129,790
"263",193,222,191,2776.12643678161,499.195402298851,"G","103",3129,790
"264",198,225,194,2789.91954022989,476.206896551724,"G","103",3129,790
"265",198,225,194,2794.51724137931,468.16091954023,"G","103",3129,790
"266",168,207,163,2800.26436781609,429.080459770115,"G","103",3129,790
"267",158,195,151,2814.05747126437,412.988505747126,"G","103",3129,790
"268",98,125,28,2900.26436781609,347.471264367816,"G","103",3129,790
"269",177,214,118,3060.03448275862,385.402298850575,"G","103",3129,790
"270",97,152,33,3101.41379310345,446.32183908046,"G","103",3129,790
"271",13,25,3,3308.31034482759,504.942528735632,"G","103",3129,790
"272",43,78,45,3373.8275862069,392.298850574713,"G","103",3129,790
"273",151,194,151,3464.63218390805,514.137931034483,"G","103",3129,790
"274",82,117,53,3474.97701149425,662.413793103448,"G","103",3129,790
"275",86,141,21,3495.66666666667,847.471264367816,"G","103",3129,790
"276",105,149,64,3532.44827586207,794.597701149425,"G","103",3129,790
"277",73,124,19,3553.13793103448,508.390804597701,"G","103",3129,790
"278",16,43,2,3445.09195402299,402.643678160919,"G","103",3129,790
"279",176,215,126,3130.14942528736,394.597701149425,"G","103",3129,790
"280",12,48,0,3099.11494252874,491.149425287356,"G","103",3129,790
"281",76,125,46,3092.2183908046,517.586206896552,"G","103",3129,790
"282",237,255,66,2664.63218390805,937.126436781609,"Y","103",3129,790
"283",245,254,113,2664.63218390805,941.724137931034,"Y","103",3129,790
"284",245,255,121,2655.4367816092,945.172413793103,"Y","103",3129,790
"285",248,255,115,2648.54022988506,946.32183908046,"Y","103",3129,790
"286",248,255,97,2642.79310344828,939.425287356322,"Y","103",3129,790
"287",233,253,60,2654.28735632184,937.126436781609,"Y","103",3129,790
"288",237,246,19,3351.98850574713,717.586206896552,"Y","103",3129,790
"289",221,205,4,3339.34482758621,723.333333333333,"Y","103",3129,790
"290",230,226,5,3334.74712643678,719.885057471264,"Y","103",3129,790
"291",239,229,7,3325.55172413793,721.034482758621,"Y","103",3129,790
"292",247,231,21,3327.85057471264,716.436781609195,"Y","103",3129,790
"293",241,242,16,3342.79310344828,711.83908045977,"Y","103",3129,790
"294",239,248,37,3353.13793103448,708.390804597701,"Y","103",3129,790
"295",90,114,30,1208.37931034483,2776.71264367816,"G","104",1667,2302
"296",67,99,32,1334.81609195402,2774.41379310345,"G","104",1667,2302
"297",236,255,182,1423.32183908046,2764.06896551724,"G","104",1667,2302
"298",72,99,20,1341.71264367816,2734.18390804598,"G","104",1667,2302
"299",218,255,199,1424.47126436782,2715.79310344828,"G","104",1667,2302
"300",103,140,47,1357.80459770115,2658.32183908046,"G","104",1667,2302
"301",96,138,54,1307.22988505747,2619.24137931034,"G","104",1667,2302
"302",103,147,50,1393.4367816092,2603.14942528736,"G","104",1667,2302
"303",170,204,130,1273.89655172414,2607.74712643678,"G","104",1667,2302
"304",132,160,73,1270.44827586207,2573.26436781609,"G","104",1667,2302
"305",228,255,204,1488.83908045977,2608.89655172414,"G","104",1667,2302
"306",131,158,81,1523.32183908046,2590.50574712644,"G","104",1667,2302
"307",93,115,43,1562.40229885057,2570.96551724138,"G","104",1667,2302
"308",88,124,14,1589.98850574713,2537.63218390805,"G","104",1667,2302
"309",68,109,13,1480.79310344828,2529.58620689655,"G","104",1667,2302
"310",136,161,80,1464.70114942529,2498.55172413793,"G","104",1667,2302
"311",163,191,91,1495.73563218391,2479.01149425287,"G","104",1667,2302
"312",53,64,0,1460.10344827586,2443.37931034483,"G","104",1667,2302
"313",157,196,143,1433.66666666667,2404.29885057471,"G","104",1667,2302
"314",45,81,20,1438.26436781609,2338.7816091954,"G","104",1667,2302
"315",95,129,42,1506.08045977012,2315.79310344828,"G","104",1667,2302
"316",106,147,79,1538.26436781609,2306.59770114943,"G","104",1667,2302
"317",55,98,0,1447.45977011494,2280.16091954023,"G","104",1667,2302
"318",191,225,131,1518.72413793103,2242.22988505747,"G","104",1667,2302
"319",236,251,210,1570.44827586207,2236.48275862069,"G","104",1667,2302
"320",209,238,146,1488.83908045977,2223.83908045977,"G","104",1667,2302
"321",134,180,55,1487.68965517241,2195.10344827586,"G","104",1667,2302
"322",106,152,53,1570.44827586207,2167.51724137931,"G","104",1667,2302
"323",125,161,55,1507.22988505747,2164.06896551724,"G","104",1667,2302
"324",68,106,3,1485.3908045977,2142.22988505747,"G","104",1667,2302
"325",104,131,50,1553.20689655172,2129.58620689655,"G","104",1667,2302
"326",157,186,96,1876.19540229885,2434.18390804598,"G","104",1667,2302
"327",147,167,54,1870.44827586207,2403.14942528736,"G","104",1667,2302
"328",112,144,47,1941.71264367816,2402,"G","104",1667,2302
"329",114,150,44,1993.4367816092,2347.97701149425,"G","104",1667,2302
"330",186,219,128,1910.67816091954,2326.13793103448,"G","104",1667,2302
"331",91,122,28,1879.64367816092,2289.35632183908,"G","104",1667,2302
"332",158,199,95,1933.66666666667,2279.01149425287,"G","104",1667,2302
"333",84,118,31,1900.33333333333,2267.51724137931,"G","104",1667,2302
"334",164,186,103,1872.74712643678,2221.54022988506,"G","104",1667,2302
"335",76,115,26,1892.28735632184,2200.85057471264,"G","104",1667,2302
"336",70,111,17,1945.16091954023,2223.83908045977,"G","104",1667,2302
"337",86,124,39,1939.41379310345,2207.74712643678,"G","104",1667,2302
"338",119,167,57,1923.32183908046,2144.52873563218,"G","104",1667,2302
"339",67,105,0,1855.50574712644,2081.31034482759,"G","104",1667,2302
"340",53,88,0,1854.35632183908,2064.06896551724,"G","104",1667,2302
"341",135,168,87,1819.87356321839,2069.81609195402,"G","104",1667,2302
"342",69,106,37,1803.7816091954,2059.47126436782,"G","104",1667,2302
"343",56,104,0,1829.06896551724,2049.12643678161,"G","104",1667,2302
"344",194,227,148,1798.03448275862,2053.72413793103,"G","104",1667,2302
"345",44,86,0,1795.73563218391,2038.7816091954,"G","104",1667,2302
"346",36,67,0,1827.91954022988,2031.88505747126,"G","104",1667,2302
"347",147,183,85,1769.29885057471,1908.89655172414,"G","104",1667,2302
"348",177,208,132,1726.77011494253,1868.66666666667,"G","104",1667,2302
"349",86,128,44,1793.4367816092,1843.37931034483,"G","104",1667,2302
"350",205,241,133,1716.42528735632,1823.83908045977,"G","104",1667,2302
"351",63,96,9,1676.19540229885,1851.42528735632,"G","104",1667,2302
"352",49,88,5,1660.10344827586,1887.05747126437,"G","104",1667,2302
"353",138,173,83,1665.85057471264,1926.13793103448,"G","104",1667,2302
"354",215,233,191,1688.83908045977,2014.64367816092,"G","104",1667,2302
"355",223,244,187,1686.54022988506,2026.13793103448,"G","104",1667,2302
"356",253,254,246,1464.70114942529,2056.02298850575,"W","104",1667,2302
"357",251,255,255,1523.32183908046,2060.62068965517,"W","104",1667,2302
"358",244,255,242,1360.10344827586,2262.91954022989,"W","104",1667,2302
"359",240,248,237,1352.05747126437,2273.26436781609,"W","104",1667,2302
"360",241,245,228,1340.5632183908,2264.06896551724,"W","104",1667,2302
"361",227,233,205,1341.71264367816,2257.1724137931,"W","104",1667,2302
"363",233,240,209,1352.05747126437,2261.77011494253,"W","104",1667,2302
"364",254,255,247,1742.86206896552,2150.27586206897,"W","104",1667,2302
"365",234,241,223,1737.11494252874,2136.48275862069,"W","104",1667,2302
"366",239,243,228,1752.05747126437,2129.58620689655,"W","104",1667,2302
"367",239,247,226,1763.55172413793,2133.03448275862,"W","104",1667,2302
"368",252,252,250,1760.10344827586,2151.42528735632,"W","104",1667,2302
"369",227,236,217,2132.51724137931,2074.41379310345,"W","104",1667,2302
"370",251,254,247,2117.57471264368,2074.41379310345,"W","104",1667,2302
"371",231,238,231,2099.18390804598,2064.06896551724,"W","104",1667,2302
"372",221,231,222,2104.93103448276,2052.57471264368,"W","104",1667,2302
"373",211,215,200,2115.27586206897,2058.32183908046,"W","104",1667,2302
"374",240,245,225,2119.87356321839,2067.51724137931,"W","104",1667,2302
"375",216,225,198,1939.41379310345,1847.97701149425,"W","104",1667,2302
"377",216,223,189,1962.40229885057,1838.7816091954,"W","104",1667,2302
"378",252,252,252,1907.22988505747,2067.51724137931,"W","104",1667,2302
"379",254,255,253,1963.55172413793,2093.95402298851,"W","104",1667,2302
"380",254,253,251,1768.14942528736,2144.52873563218,"W","104",1667,2302
"381",236,241,221,1745.16091954023,2134.18390804598,"W","104",1667,2302
"382",254,255,245,1686.54022988506,2218.09195402299,"W","104",1667,2302
"383",241,255,99,1398.03448275862,2058.32183908046,"Y","104",1667,2302
"384",248,255,125,1399.18390804598,2068.66666666667,"Y","104",1667,2302
"385",177,189,0,1386.54022988506,2059.47126436782,"Y","104",1667,2302
"386",244,255,99,1385.3908045977,2066.36781609195,"Y","104",1667,2302
"387",245,254,113,1375.04597701149,2075.5632183908,"Y","104",1667,2302
"388",252,255,112,1367,2056.02298850575,"Y","104",1667,2302
"389",243,255,91,1362.40229885057,2069.81609195402,"Y","104",1667,2302
"390",227,230,35,1348.6091954023,2054.87356321839,"Y","104",1667,2302
"391",239,247,74,1376.19540229885,2045.67816091954,"Y","104",1667,2302
"393",255,255,80,2029.06896551724,2224.98850574713,"Y","104",1667,2302
"394",255,251,72,2031.36781609195,2224.98850574713,"Y","104",1667,2302
"395",216,217,17,2093.4367816092,2230.73563218391,"Y","104",1667,2302
